,number,ca,name,material,location,culture,time,img
35,236,6,Portrait mask Mblo,wood and pigment,Cote d'Ivoire,Baule peoples,1900 CE,https://cdn.kastatic.org/ka-perseus-images/35f1509ec9f65bf110dc875457e4b61380f5c92e.png
36,237,6,Bundu mask,"wood, cloth, and fiber",West African forests of Sierra Leone and Liberia,"Sande Society, Mende peoples",1900 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1506319048703/vi-africa/175-bundu-mask/25e68c27df981a751bfb3a3e5eeab0be.jpg
37,238,6,Ikenga,wood,Igbo peoples (Nigeria),Igbo peoples,1900 CE,https://upload.wikimedia.org/wikipedia/commons/a/af/COLLECTIE_TROPENMUSEUM_Houten_beeld_van_een_man_met_ramshoorns_TMnr_5112-1.jpg
38,239,6,Lukasa ,"wood, beads, and metal",Democratic Republic of the Congo,"Mbudye Society, Luba peoples",1900 CE,https://upload.wikimedia.org/wikipedia/commons/0/08/Brooklyn_Museum_76.20.4_Lukasa_Memory_Board.jpg
39,240,6,Aka elephant mask,"wood, woven raffia, cloth, and beads","Cameroon, western grassfields region",Bamileke peoples,1900 CE,https://d1lfxha3ugu3d4.cloudfront.net/images/opencollection/objects/size4/81.170_detail_SL1.jpg
40,241,6,Reliquary byeri figure,wood,southern Cameroon,Fang peoples,1900 CE,https://d1lfxha3ugu3d4.cloudfront.net/images/opencollection/objects/size4/51.3_overall_PS9.jpg
41,242,9,Navigation chart,wood and fiber,"Marshall Islands, Micronesia",Pacific,1900 CE,https://oceanservice.noaa.gov/facts/nautical_chart.jpg
42,243,9,Malagan display and mask,"wood, pigment, fiber, and shell","New Ireland Province, Papua New Guinea",Pacific,1900 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1537988102026/ix-the-pacific/222-malagan-display-and-mask/Screen%20Shot%202018-09-26%20at%202.52.36%20PM.png?height=320&width=214
43,244,4,"Mont Sainte-Victoire, Paul Cezanne",oil on canvas,France,French Post-Impressionism,1902 CE,https://smarthistory.org/wp-content/uploads/2017/04/cezannethumb.jpg
44,245,4,"Les Demoiselles d' Avignon, Pablo Picasso",oil on canvas,France,French Cubism,1907 CE,https://www.moma.org/media/W1siZiIsIjQzODQ1MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=8b2a1c3992bba555
45,246,4,"The Steerage, Alfred Stieglitz",photogravure,United States,,1907 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Alfred_Stieglitz_-_The_Steerage_-_Google_Art_Project.jpg/1200px-Alfred_Stieglitz_-_The_Steerage_-_Google_Art_Project.jpg
