pkgconf 1.6.3-4
polkit 0.116-5
poppler 0.88.0-1
poppler-glib 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-6
potrace 1.16-2
powertop 2.12-1
procps-ng 3.3.16-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pygobject-devel 3.36.1-1
python 3.8.3-1
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-attrs 19.3.0-4
python-automat 20.2.0-2
python-bcrypt 3.1.7-3
python-beaker 1.11.0-4
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-capstone 4.0.2-1
python-cffi 1.14.0-2
python-chardet 3.0.4-5
python-click 7.1.2-1
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-constantly 15.1.0-6
python-contextlib2 0.6.0.post1-1
python-cryptography 2.9.2-1
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-future 0.18.2-2
python-geoip 1.3.2-8
python-gobject 3.36.1-1
python-html5lib 1.0.1-7
python-hyperlink 19.0.0-4
python-idna 2.9-1
python-incremental 17.5.0-4
python-intervaltree 3.0.2-2
python-mako 1.1.2-3
python-markupsafe 1.1.1-4
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-paramiko 2.7.1-2
python-pep517 0.8.2-1
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-ply 3.11-5
python-progress 1.5-3
python-psutil 5.7.0-1
python-pwntools 4.1.0-1
python-pyasn1 0.4.8-2
python-pyasn1-modules 0.2.8-1
python-pycparser 2.20-1
python-pycurl 7.43.0.5-1
python-pyelftools 0.26-1
python-pygments 2.6.1-2
python-pyhamcrest 1.9.0-5
python-pynacl 1.3.0-4
python-pyopenssl 19.1.0-2
python-pyparsing 2.4.7-1
python-pyserial 3.4-4
python-pysocks 1.7.1-1
python-pytoml 0.1.21-3
python-pyxdg 0.26-6
python-rencode 1.0.6-3
python-requests 2.23.0-1
python-retrying 1.3.3-7
python-service-identity 18.1.0-4
python-setproctitle 1.1.10-5
python-setuptools 1:46.4.0-1
python-six 1.14.0-1
python-sortedcontainers 2.1.0-4
python-toml 0.10.1-1
python-twisted 20.3.0-1
python-unicorn 1.0.1-8
python-urllib3 1.25.9-1
python-webencodings 0.5.1-4
python-zope-interface 5.1.0-1
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-dbus 1.2.16-1
python2-gobject 3.36.1-1
python2-gobject2 2.28.7-5
python2-ordered-set 3.1.1-2
python2-packaging 20.4-1
python2-pyparsing 2.4.7-1
python2-setuptools 2:44.1.0-1
python2-six 1.14.0-1
qt5-base 5.14.2-3
qt5-declarative 5.14.2-1
qt5-multimedia 5.14.2-1
qt5-svg 5.14.2-1
qt5-x11extras 5.14.2-1
quazip 0.9-1
radare2 4.4.0-1
re2 1:20200501-1
readline 8.0.004-1
rest 0.8.1-3
ripgrep 12.1.0-1
ropgadget 6.3-1
rtkit 0.13-1
rubberband 1.8.2-3
run-parts 4.8.6.1-2
sbc 1.4-2
sdl 1.2.15-14
sdl2 2.0.12-1
sed 4.8-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
smbclient 4.12.3-1
snappy 1.1.8-1
sound-theme-freedesktop 0.8-4
